x,y
0.857131964149592,3.0222911984726393
0.6927722630975454,2.036540921589199
0.6441306405616,1.0381924886772937
0.6824542984071821,0.03910951680443943
0.7605706274227264,-0.9578255857109883
0.8241164739923188,-1.955730167164391
0.8222515980189538,-2.9554093136751045
0.7175316416507149,-3.949333939266321
0.47701120280888215,-4.9188134730120865
0.038594870954001374,-5.8141793191109885
-0.6825787478355516,-6.494485117324156
-1.6382418585576466,-6.741439500859771
-2.4049287725926005,-6.193822199126002
-2.5722731924140843,-5.214874953702738
-2.453941323974699,-4.223740965955311
-2.189016865921072,-3.2598569873653127
-1.8787852555075415,-2.309201428888164
-1.604128983988002,-1.3479261559433713
-1.4471063107018496,-0.36147132742769916
-1.4940427327835921,0.634980015220833
-1.7721415536911294,1.5940318126114308
-2.116816285136047,2.5326444110701014
-2.2742042079418585,3.513649264287833
-1.828851378622981,4.381937622935524
-0.948303139300887,4.83136526510288
0.040446359575921305,4.795511402023033
0.8711336230841503,4.326685093874328
